tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners,Type 
Serie A,Atletico Mineiro,0,0,America MG,16,3,94,85,10,15,23:00:00,10/14/2018,0,0,DRAW,DRAW,19,National 
Serie A,Atletico Paranaense,4,0,Sport Recife,10,3,116,54,29,8,23:00:00,10/14/2018,4,-4,WON,LOST,13,National 
Serie A,Vasco Da Gama RJ,2,0,Cruzeiro,10,9,103,97,20,14,20:00:00,10/14/2018,2,-2,WON,LOST,19,National 
Serie A,Palmeiras,2,0,Gremio,4,5,83,150,7,2,20:00:00,10/14/2018,2,-2,WON,LOST,9,National 
Serie A,Internacional,3,1,Sao Paulo,6,4,93,99,19,10,20:00:00,10/14/2018,2,-2,WON,LOST,10,National 
Serie A,Chapecoense,0,1,Vitoria,7,3,140,94,12,16,15:00:00,10/14/2018,-1,1,LOST,WON,10,National 
Serie A,EC Bahia,2,0,Parana,12,1,150,80,20,7,1:00:00,10/14/2018,2,-2,WON,LOST,13,National 
Serie A,Santos,1,0,Corinthians,5,2,113,122,14,9,23:00:00,10/13/2018,1,-1,WON,LOST,7,National 
Serie A,Flamengo,3,0,Fluminense,6,3,107,108,15,13,21:00:00,10/13/2018,3,-3,WON,LOST,9,National 
Serie A,Botafogo RJ,1,1,Vasco Da Gama RJ,7,6,113,115,19,10,1:00:00,10/10/2018,0,0,DRAW,DRAW,13,National 
Serie A,Fluminense,4,0,Parana,8,2,131,89,16,8,0:00:00,10/9/2018,4,-4,WON,LOST,10,National 
Serie A,Gremio,2,2,EC Bahia,9,5,157,70,24,9,1:00:00,10/7/2018,0,0,DRAW,DRAW,14,National 
Serie A,Sao Paulo,0,2,Palmeiras,4,2,123,90,7,8,22:00:00,10/6/2018,-2,2,LOST,WON,6,National 
Serie A,Atletico Paranaense,4,0,America MG,5,1,126,86,12,7,20:00:00,10/6/2018,4,-4,WON,LOST,6,National 
Serie A,Chapecoense,1,0,Atletico Mineiro,5,9,98,125,9,14,20:00:00,10/6/2018,1,-1,WON,LOST,14,National 
Serie A,Vitoria,0,1,Santos,8,2,137,92,18,12,1:30:00,10/6/2018,-1,1,LOST,WON,10,National 
Serie A,Corinthians,0,3,Flamengo,4,10,106,116,12,12,1:00:00,10/6/2018,-3,3,LOST,WON,14,National 
Serie A,Sport Recife,2,1,Internacional,8,4,116,109,12,7,23:00:00,10/5/2018,1,-1,WON,LOST,12,National 
Serie A,Parana,1,1,Vasco Da Gama RJ,11,5,107,120,21,16,0:00:00,10/2/2018,0,0,DRAW,DRAW,16,National 
Serie A,Ceara,3,1,Chapecoense,5,8,90,89,13,9,23:00:00,9/30/2018,2,-2,WON,LOST,13,National 
Serie A,Atletico Mineiro,5,2,Sport Recife,6,6,114,78,21,7,20:00:00,9/30/2018,3,-3,WON,LOST,12,National 
Serie A,Botafogo RJ,2,2,Sao Paulo,7,7,84,117,8,14,20:00:00,9/30/2018,0,0,DRAW,DRAW,14,National 
Serie A,Santos,1,0,Atletico Paranaense,12,5,139,69,13,12,20:00:00,9/30/2018,1,-1,WON,LOST,17,National 
Serie A,Internacional,2,1,Vitoria,7,0,127,74,16,7,20:00:00,9/30/2018,1,-1,WON,LOST,7,National 
Serie A,Palmeiras,3,1,Cruzeiro,7,2,75,82,15,5,15:00:00,9/30/2018,2,-2,WON,LOST,9,National 
Serie A,EC Bahia,0,0,Flamengo,4,3,107,138,14,11,1:00:00,9/30/2018,0,0,DRAW,DRAW,7,National 
Serie A,America MG,0,0,Corinthians,1,5,116,128,10,15,23:00:00,9/29/2018,0,0,DRAW,DRAW,6,National 
Serie A,Fluminense,0,1,Gremio,7,2,52,51,8,7,20:00:00,9/29/2018,-1,1,LOST,WON,9,National 
Serie A,Santos,1,1,Vasco Da Gama RJ,10,6,120,102,10,13,0:00:00,9/28/2018,0,0,DRAW,DRAW,16,National 
Serie A,Chapecoense,1,2,Fluminense,7,2,104,93,5,7,0:00:00,9/25/2018,-1,1,LOST,WON,9,National 
Serie A,Vasco Da Gama RJ,2,1,EC Bahia,4,8,93,81,11,13,0:00:00,9/25/2018,1,-1,WON,LOST,12,National 
Serie A,Cruzeiro,2,1,Santos,4,6,112,110,6,12,23:00:00,9/23/2018,1,-1,WON,LOST,10,National 
Serie A,Vitoria,3,4,Botafogo RJ,3,1,134,87,13,11,22:00:00,9/23/2018,-1,1,LOST,WON,4,National 
Serie A,Sport Recife,0,1,Palmeiras,6,5,128,128,10,8,22:00:00,9/23/2018,-1,1,LOST,WON,11,National 
Serie A,Atletico Paranaense,3,0,Parana,6,3,94,111,15,11,20:00:00,9/23/2018,3,-3,WON,LOST,9,National 
Serie A,Flamengo,2,1,Atletico Mineiro,4,6,111,113,8,13,20:00:00,9/23/2018,1,-1,WON,LOST,10,National 
Serie A,Corinthians,1,1,Internacional,2,3,121,107,8,10,20:00:00,9/23/2018,0,0,DRAW,DRAW,5,National 
Serie A,Gremio,3,2,Ceara,17,0,133,99,19,5,15:00:00,9/23/2018,1,-1,WON,LOST,17,National 
Serie A,Sao Paulo,1,1,America MG,6,2,106,88,10,5,20:00:00,9/22/2018,0,0,DRAW,DRAW,8,National 
Serie A,Chapecoense,2,1,Internacional,6,4,109,87,20,13,0:00:00,9/18/2018,1,-1,WON,LOST,10,National 
Serie A,Corinthians,2,1,Sport Recife,5,6,132,111,12,13,23:00:00,9/16/2018,1,-1,WON,LOST,11,National 
Serie A,Cruzeiro,0,0,Atletico Mineiro,6,3,103,122,12,8,20:00:00,9/16/2018,0,0,DRAW,DRAW,9,National 
Serie A,Atletico Paranaense,3,1,Fluminense,5,3,81,99,12,10,20:00:00,9/16/2018,2,-2,WON,LOST,8,National 
Serie A,EC Bahia,1,1,Palmeiras,6,3,121,134,9,8,20:00:00,9/16/2018,0,0,DRAW,DRAW,9,National 
Serie A,Santos,0,0,Sao Paulo,4,4,97,114,13,6,20:00:00,9/16/2018,0,0,DRAW,DRAW,8,National 
Serie A,Botafogo RJ,1,0,America MG,5,1,131,105,12,8,15:00:00,9/16/2018,1,-1,WON,LOST,6,National 
Serie A,Vasco Da Gama RJ,1,1,Flamengo,6,13,63,69,13,20,23:00:00,9/15/2018,0,0,DRAW,DRAW,19,National 
Serie A,Ceara,2,0,Vitoria,4,3,94,119,18,10,20:00:00,9/15/2018,2,-2,WON,LOST,7,National 
Serie A,Gremio,2,0,Parana,4,3,129,96,20,8,20:00:00,9/15/2018,2,-2,WON,LOST,7,National 
Serie A,Chapecoense,2,1,Atletico Paranaense,8,4,110,108,15,13,0:00:00,9/14/2018,1,-1,WON,LOST,12,National 
Serie A,Atletico Mineiro,3,1,Atletico Paranaense,6,6,71,128,11,15,0:00:00,9/11/2018,2,-2,WON,LOST,12,National 
Serie A,Parana,0,2,Santos,3,2,58,64,14,6,23:00:00,9/9/2018,-2,2,LOST,WON,5,National 
Serie A,Vitoria,1,0,Vasco Da Gama RJ,2,5,54,37,10,16,23:00:00,9/9/2018,1,-1,WON,LOST,7,National 
Serie A,America MG,0,0,Ceara,3,4,131,121,7,11,20:00:00,9/9/2018,0,0,DRAW,DRAW,7,National 
Serie A,Fluminense,1,0,Botafogo RJ,6,7,116,131,13,15,20:00:00,9/9/2018,1,-1,WON,LOST,13,National 
Serie A,Palmeiras,1,0,Corinthians,8,3,125,90,13,3,20:00:00,9/9/2018,1,-1,WON,LOST,11,National 
Serie A,Internacional,1,0,Gremio,5,4,111,133,11,14,20:00:00,9/9/2018,1,-1,WON,LOST,9,National 
